iter	Logloss
0	0.6790163998
1	0.6643080776
2	0.6504607245
3	0.6400431675
4	0.6281618331
5	0.6168249405
6	0.6061478871
7	0.5962745467
8	0.5865733341
9	0.5774763714
10	0.5698410352
11	0.5614522454
12	0.5540383177
13	0.5472318554
14	0.5404546734
15	0.5344721056
16	0.52830806
17	0.5223795617
18	0.5161786327
19	0.5111516026
20	0.5065610554
21	0.5009709377
22	0.495960902
23	0.4916054922
24	0.4877226043
25	0.483813045
26	0.4800649989
27	0.4766529711
28	0.4737651477
29	0.4703921753
30	0.4675631772
31	0.4649114332
32	0.4624339563
33	0.4601597101
34	0.4575843675
35	0.4552774466
36	0.4531309779
37	0.4512424021
38	0.4493589797
39	0.4474904545
40	0.4455420665
41	0.443891154
42	0.4421657291
43	0.440801385
44	0.439029094
45	0.4375403462
46	0.4357008066
47	0.4343409734
48	0.4330607576
49	0.4317229335
50	0.4305481662
51	0.4292848358
52	0.4280167019
53	0.4267831953
54	0.4256059872
55	0.4243751419
56	0.4234501656
57	0.4224343973
58	0.4215943378
59	0.4208827186
60	0.4200289386
61	0.4190211763
62	0.4181085932
63	0.4173126988
64	0.4166519323
65	0.4158636665
66	0.4151416611
67	0.4145021419
68	0.4138263683
69	0.4132443964
70	0.4124927903
71	0.4117178056
72	0.4110337287
73	0.4104306746
74	0.4098068589
75	0.4092149322
76	0.4084441268
77	0.4078267139
78	0.407201602
79	0.4066040059
80	0.4059642242
81	0.4054157593
82	0.4049491633
83	0.4042942679
84	0.4038222511
85	0.4033958572
86	0.4029414862
87	0.4024579725
88	0.402043337
89	0.4013382685
90	0.4009366564
91	0.4002916475
92	0.3997362674
93	0.3993741911
94	0.3990191217
95	0.3985964054
96	0.3982160548
97	0.3977234254
98	0.3974140872
99	0.3969535202
100	0.396619777
101	0.396141452
102	0.3958343987
103	0.3955339258
104	0.3951312519
105	0.394806358
106	0.3945159603
107	0.3940843325
108	0.393872974
109	0.39359357
110	0.3932815712
111	0.3930404397
112	0.3926192337
113	0.3922618375
114	0.3919059428
115	0.3916449562
116	0.3913903891
117	0.3910833878
118	0.3906616211
119	0.3903447989
120	0.3900586961
121	0.3896987331
122	0.3894475379
123	0.3890735977
124	0.3887688379
125	0.388406199
126	0.3881051168
127	0.387874662
128	0.3876805597
129	0.3873622542
130	0.3871264151
131	0.3868994175
132	0.386599124
133	0.386385365
134	0.3860941721
135	0.3858526111
136	0.3855994849
137	0.3852365198
138	0.3851027138
139	0.3848808432
